target,polarity,sector,p_min,p_max,n_slices,mu_p3,mu_p3_err,mu_p2,mu_p2_err,mu_p1,mu_p1_err,mu_p0,mu_p0_err,sigma_p3,sigma_p3_err,sigma_p2,sigma_p2_err,sigma_p1,sigma_p1_err,sigma_p0,sigma_p0_err
LD2,IB,S1,0.33,10.89,49,4.964925955368334e-06,1.7390263972771174e-05,-0.0005451468267290934,0.0002904429620585427,0.004309849540131873,0.0014670619592813175,0.23110896791078855,0.002168856704342942,-1.1303020035232921e-05,5.763367833169265e-06,0.00028871630681964787,9.60004067116897e-05,-0.0031172190997742874,0.00048327407944021066,0.02235234150159626,0.0007114496072680908
LD2,IB,S2,0.33,10.89,49,-2.1951660237665677e-05,2.1411945490790806e-05,-0.00016721833200006067,0.00035602841141371244,0.0035857009126031613,0.0017864475486920259,0.23043373296154315,0.002605777078051649,-2.3414534144797965e-09,6.170855453478919e-06,0.00013021366721696764,0.00010247124956966042,-0.0024280427236857698,0.0005132272698071965,0.02170119374434489,0.0007460804915491752
LD2,IB,S3,0.33,10.89,49,3.0514109522156477e-05,1.421738287036548e-05,-0.0011714282179771318,0.00023863962557986698,0.008797653933844156,0.001214079116197218,0.22691214987381614,0.0018128382301271426,-1.982932976770492e-05,5.489540502994022e-06,0.0004742717092085994,9.222703581003762e-05,-0.004301838292791167,0.00047003888744326014,0.024234524008278028,0.0007033183573339004
LD2,IB,S4,0.33,10.89,49,1.5572896486637545e-05,1.6728493592945637e-05,-0.0008022669415616683,0.0002794565826673421,0.006786554222654998,0.0014120983022280309,0.2288869631005138,0.0020886623328552375,-1.1567266469249115e-05,5.03285003142594e-06,0.00030185531511348437,8.429918287181844e-05,-0.003260224089810447,0.00042727776482582365,0.02313617993652425,0.0006349962979271074
LD2,IB,S5,0.33,10.89,49,-4.233388099901558e-06,1.6257067129175198e-05,-0.0003662910393895156,0.00026984949671519595,0.004637371196781024,0.0013555870702998735,0.22886453385030212,0.0019936990020558874,-1.656695649021628e-05,5.65641039346139e-06,0.0004115043807584412,9.387146435933664e-05,-0.003892808813066396,0.00047138715862263486,0.023108855010246468,0.0006921706388437239
LD2,IB,S6,0.33,10.89,49,1.6322052300449488e-05,2.1720019853076003e-05,-0.0008197214817152554,0.0003646076752729648,0.006581994145916058,0.0018586796441848678,0.2272092432079458,0.0027930276187511935,-1.587631862413923e-05,6.2030189027525014e-06,0.00038046195361397973,0.00010433208547009326,-0.0036657009976211945,0.0005330101926288632,0.023217498918657677,0.0008029805786253294
CxC,IB,S1,0.33,10.89,49,4.965863004174402e-06,1.7390308996322613e-05,-0.000545163098873946,0.0002904436548885634,0.004309931938726974,0.0014670651374395828,0.23110885936526837,0.002168861049007027,-1.1302709465851083e-05,5.763325245950122e-06,0.00028871369955209725,9.599966526727153e-05,-0.003117218962820715,0.00048327016112857717,0.02235234854856825,0.0007114435908191946
CxC,IB,S2,0.33,10.89,49,-2.1951173222154926e-05,2.141183017967832e-05,-0.0001672262208061155,0.00035602654305673484,0.003585739389483375,0.001786439059513656,0.23043367994851038,0.0026057667909342606,-1.7158826957646848e-09,6.170713254981132e-06,0.00013020088591651787,0.00010246889987578479,-0.0024279680056986334,0.0005132158278699471,0.021701083205547325,0.0007460646692803419
CxC,IB,S3,0.33,10.89,49,3.0512774785738254e-05,1.4217443216994096e-05,-0.0011714044567576259,0.0002386406957294502,0.008797523209812122,0.001214085329594689,0.22691237157305302,0.0018128506439710657,-1.983061520960445e-05,5.489602718148709e-06,0.000474296117335234,9.222812687481507e-05,-0.004301976821321411,0.00047004501197575675,0.024234758799412608,0.0007033296069532045
CxC,IB,S4,0.33,10.89,49,1.5571780331699553e-05,1.6728441448998938e-05,-0.000802247276701933,0.00027945587308002154,0.006786451503657881,0.0014120958494581995,0.22888712189293423,0.0020886615145789757,-1.156805494425309e-05,5.032828437684587e-06,0.0003018706018422159,8.429889199380736e-05,-0.0032603154606276443,0.00042727678366598907,0.023136349679159642,0.0006349960307438261
