target,polarity,sector,p_min,p_max,n_slices,mu_p3,mu_p3_err,mu_p2,mu_p2_err,mu_p1,mu_p1_err,mu_p0,mu_p0_err,sigma_p3,sigma_p3_err,sigma_p2,sigma_p2_err,sigma_p1,sigma_p1_err,sigma_p0,sigma_p0_err
LD2,OB,S1,0.77,10.89,47,2.1658306722715215e-05,1.8112765047178717e-05,-0.0007956694341742627,0.0003024589349307789,0.0057416074885281295,0.0015206168212014563,0.22848171309438697,0.002208265921844344,-1.5645062670147263e-05,7.2460045816647304e-06,0.00036443448806087266,0.0001210965745081719,-0.00347809670076928,0.0006095106904898725,0.022784003047682983,0.000887289282298156
LD2,OB,S2,0.77,10.89,47,-1.4321909236892708e-06,1.923741202735914e-05,-0.0005379217486419111,0.00031952550599737375,0.006035907454753908,0.0015936915104614777,0.22723528459893788,0.0022813907955889735,-1.0218925122970244e-05,6.620307942805861e-06,0.0002810789264881004,0.00010994113974798517,-0.0029924099897455985,0.0005483380257796761,0.02214450106974773,0.0007850986806797379
LD2,OB,S3,0.77,10.89,47,4.146475618669381e-05,1.4358430984707018e-05,-0.0013319279463029174,0.00024007775928066682,0.009544561874341384,0.001208701622551623,0.22482224642779647,0.0017602109556391385,-2.0820454331715262e-05,6.2811044391208805e-06,0.0005091026012659205,0.00010511572118732575,-0.00454726295527139,0.0005294836601687396,0.024553636081921102,0.0007711840954283349
LD2,OB,S4,0.77,10.89,47,6.027434613895637e-06,1.5431635985494813e-05,-0.0006707264927053806,0.0002553506950087703,0.006742875994395757,0.001271727407009051,0.22627259932052338,0.001830362865361582,-1.1085993508468795e-05,6.598272928625189e-06,0.0002849497633379184,0.00010907166790664403,-0.003090210521193639,0.0005431208752420051,0.022702590616818782,0.0007842697076721069
LD2,OB,S5,0.77,10.89,47,-2.106350511655147e-05,1.5898438040348195e-05,-6.716293670693502e-05,0.0002622190561834182,0.0032539139785507476,0.0013028591193268262,0.2294593085540533,0.0018774258306602247,-2.5647728747389867e-05,6.510309349648249e-06,0.000554630016589342,0.0001074097207462154,-0.004471506690302919,0.0005350055670264237,0.023534374875804464,0.000776427770062815
LD2,OB,S6,0.77,10.89,47,1.955346151205088e-05,2.2810503425043497e-05,-0.0009387104570381477,0.00038002567438089746,0.007709680253876092,0.001909730064305023,0.22481092849828357,0.002783003626252143,-1.827203408194422e-05,6.211669524685872e-06,0.00040866059999276514,0.0001036074859236958,-0.0037073975356867314,0.0005212940223224719,0.023201340452698702,0.0007601546041541291
CxC,OB,S1,0.77,10.89,47,1.3867056006143758e-05,2.1331460292119025e-05,-0.0006473611752071138,0.0003531014415942684,0.004850482199188823,0.0017534328885636362,0.2297163771413505,0.00249662198581478,-9.444167919791148e-06,6.398181536383647e-06,0.00024811870963040503,0.00010605705503320883,-0.0028044977337964706,0.0005276716000099771,0.021600268103287995,0.000754162981677555
CxC,OB,S2,0.77,10.89,47,-9.74536929474968e-06,2.3058847349650253e-05,-0.00040579493973643495,0.000381661832677127,0.0054449453299710735,0.0018901827623899687,0.2284924165722865,0.002657601796580442,-4.8209417993215434e-06,5.5370779334678665e-06,0.00016816110575098084,9.189914995348708e-05,-0.0023012497774864845,0.0004562680585506651,0.02097248418689893,0.0006419965169862746
CxC,OB,S3,0.77,10.89,47,3.5202137114302e-05,1.7078700872681762e-05,-0.0012107285701610203,0.00028325164602477365,0.008799251289662835,0.0014104996908106163,0.22578309358813814,0.0020154284107250773,-1.5176979109340049e-05,5.742053428847319e-06,0.0004048260815249086,9.529649700879514e-05,-0.0039742495487610574,0.0004751022472580736,0.023644663024820545,0.0006801190676922613
CxC,OB,S4,0.77,10.89,47,-1.291518402076205e-05,2.1206396102360797e-05,-0.0003194709545149097,0.0003481537246409104,0.004774422082927989,0.0017106425037012945,0.22902730302703675,0.002393583660880903,-3.384834530958126e-06,5.995380565838275e-06,0.0001421861264220365,9.835272043168266e-05,-0.0022781560832862676,0.0004827771192533644,0.02131817474179981,0.0006747645813752557
CxC,OB,S5,0.77,10.89,47,-3.479554210428256e-05,2.0196176263991993e-05,0.00018810110929406404,0.0003301369139708807,0.0017797289778251576,0.0016177330708078575,0.23129380282742862,0.002267757889641161,-1.815832988481391e-05,6.010078587000537e-06,0.00042414119465168323,9.817353519469997e-05,-0.0037776698246878323,0.00048072520800826734,0.022386077976253214,0.0006727281026383138
CxC,OB,S6,0.77,10.89,47,1.997613711602791e-06,2.774330338415293e-05,-0.0006286570699192163,0.00045853371483577115,0.006051471232999607,0.0022793221225854443,0.22711999585844908,0.003263239251095475,-1.0413409518592379e-05,7.581242146543721e-06,0.0002639296353945334,0.00012546144316722964,-0.0028684702950003494,0.0006246816818614443,0.02170336779775453,0.0008955574633247896
CuSn,OB,S1,0.77,10.89,47,1.898324514513044e-06,1.8032933565028823e-05,-0.0004894629449247571,0.0003033965856049308,0.003994131012747013,0.0015467030599218897,0.23207068118582544,0.0023119933304668414,-1.2341506880369735e-05,5.550819536420126e-06,0.00031366283229608555,9.360315641417311e-05,-0.0032776303181397083,0.00047861995589684346,0.0224182005124429,0.0007179186842798984
CuSn,OB,S2,0.77,10.89,47,-2.212722698929444e-05,2.1784329940465005e-05,-0.00015671722315462549,0.0003637201517804365,0.003476049752745757,0.0018336901988722056,0.23020777767131204,0.0026925919379087167,1.855098327279021e-06,5.673008736047447e-06,0.00010750997044833324,9.45913559994118e-05,-0.0023544029055700983,0.0004758867835316022,0.02141103460250233,0.0006972842926078953
CuSn,OB,S3,0.77,10.89,47,3.0712725575101215e-05,1.4789959168893784e-05,-0.0011795777602625454,0.00024848083507922184,0.008877708036098317,0.0012647608712817652,0.22681066394207428,0.0018923782293532596,-1.7508135806197297e-05,5.339590715237702e-06,0.00043720515516471135,8.967130756032434e-05,-0.004104492332976102,0.00045633567653902737,0.02378784559830322,0.0006834050130142662
CuSn,OB,S4,0.77,10.89,47,1.459749032226449e-05,1.7052107171869404e-05,-0.0007847463321437587,0.0002856420755971731,0.006702586925670247,0.0014461995845085882,0.22900504280442308,0.002138500327595303,-8.680369732512381e-06,4.997849948318138e-06,0.0002528880400476581,8.387171701061437e-05,-0.002997399812079411,0.00042502259053203505,0.02250505027016305,0.0006282209135075333
CuSn,OB,S5,0.77,10.89,47,-1.0624953761343099e-05,1.718393027339925e-05,-0.00025016559866306677,0.00028657133328064365,0.004027067850876724,0.001445993713397174,0.22986454023899316,0.002135149267381567,-1.3557479096946822e-05,5.480020671362302e-06,0.00035775422784026223,9.140860165560918e-05,-0.003576763163072111,0.000460843783086926,0.02240025205822711,0.0006785096416384912
CuSn,OB,S6,0.77,10.89,47,1.7103821438393345e-05,2.2531843773672187e-05,-0.0008409054245322584,0.00037865103135826053,0.006788150890661308,0.0019343761184057835,0.22684401049544498,0.0029149518507326994,-1.3719031480335964e-05,5.681176452898343e-06,0.00033964797273053576,9.55051675311745e-05,-0.0034277900184738015,0.0004884536766000876,0.02268679904657296,0.0007370507345241814
